"Name","Team","Pos","Injury / Surgery Date","Injury / Surgery","Status","IL Retro Date","Eligible to Return","Return Date","Latest Update"
"Jose Miranda","MIN","3B/1B","09/24/24","Strained lower back","Activated","09/25/24","10/05/24","09/30/24","Activated"
"Aledmys Díaz","OAK","INF/OF","02/26/24","Strained calf","Activated","03/25/24","05/24/24","05/28/24","Activated"
"Nick Lodolo","CIN","SP","03/16/24","Calf tenosynovitis","Activated","03/25/24","04/09/24","04/13/24","Activated"
"Josh Staumont","MIN","RP","03/25/24","Strained calf","Activated","03/26/24","04/10/24","04/19/24","Activated"
"John Brebbia","CHW","RP","04/05/24","Strained calf","Activated","04/06/24","04/21/24","04/22/24","Activated"
"Austin Hays","BAL","OF","04/20/24","Strained calf","Activated","04/21/24","05/01/24","05/13/24","Activated"
"Ryan Brasier","LAD","RP","04/27/24","Strained calf","Activated","04/28/24","06/27/24","08/17/24","Activated"
"Jon Berti","NYY","INF/OF","05/24/24","Strained calf","Activated","05/25/24","07/24/24","09/09/24","Activated"
"Elias Díaz","COL","C","06/10/24","Strained calf","Activated","06/11/24","06/21/24","06/30/24","Activated"
"Bo Bichette","TOR","SS","06/14/24","Strained calf","Activated","06/15/24","06/25/24","06/25/24","Activated"
"Gary Sánchez","MIL","C","06/23/24","Strained calf","Activated","06/24/24","07/04/24","07/24/24","Activated"
"Bo Bichette","TOR","SS","07/19/24","Strained calf","Activated","07/20/24","07/30/24","09/17/24","Activated"
"Kodai Senga","NYM","SP","07/26/24","Strained calf","Activated","07/27/24","09/25/24","09/30/24","Activated"
"Tyler O'Neill","BOS","OF","08/02/24","Calf infection","Activated","08/04/24","08/14/24","08/17/24","Activated"
"James Paxton","BOS","SP","08/11/24","Strained calf","Activated","08/12/24","10/11/24","09/30/24","Activated"
"Blake Perkins","MIL","OF","08/11/24","Strained calf","Activated","08/12/24","08/22/24","08/22/24","Activated"
"Lourdes Gurriel Jr.","ARI","OF","09/01/24","Strained calf","Activated","09/02/24","09/12/24","09/20/24","Activated"
"Ian Hamilton","NYY","RP","05/20/24","COVID-19 symptoms","Activated","05/19/24","05/26/24","05/28/24","Activated"
"Cooper Criswell","BOS","RP","08/09/24","COVID-19","Activated","08/08/24","08/15/24","08/16/24","Activated"
"Carson Coleman","TEX","RP","Apr '23","Elbow surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Penn Murfee","HOU","RP","Jun '23","Elbow surgery (UCL)","Activated","03/25/24","05/24/24","09/30/24","Activated"
"Lance McCullers Jr.","HOU","SP","06/13/23","Elbow surgery (flexor tendon/bone spur)","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Drew Rasmussen","TBR","SP","Jul '23","Elbow surgery (internal brace)","Activated","03/28/24","05/27/24","08/07/24","Activated"
"Endy Rodríguez","PIT","C","12/12/23","Elbow/Flexor tendon surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Kyle Bradish","BAL","SP","Jan '24","Sprained elbow","Activated","03/25/24","04/09/24","05/02/24","Activated"
"Sean Hjelle","SFG","SP","02/28/24","Strained elbow","Activated","03/25/24","04/09/24","04/20/24","Activated"
"Trevor Stephan","CLE","RP","Mar '24","Elbow surgery (UCL)","Activated","03/25/24","05/24/24","09/30/24","Activated"
"Gerrit Cole","NYY","SP","03/01/24","Elbow inflammation","Activated","03/28/24","05/27/24","06/19/24","Activated"
"Gavin Williams","CLE","SP","03/10/24","Elbow inflammation","Activated","03/25/24","05/24/24","06/30/24","Activated"
