"Name","Team","Pos","Injury / Surgery Date","Injury / Surgery","Status","IL Retro Date","Eligible to Return","Return Date","Latest Update"
"Jimmy Lambert","CHW","RP","08/20/24","Shoulder surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Victor Vodnik","COL","RP","08/20/24","Biceps inflammation","Activated","08/19/24","09/03/24","09/08/24","Activated"
"Alex Faedo","DET","RP","08/20/24","Strained shoulder","Activated","08/22/24","10/21/24","09/30/24","Activated"
"Rodolfo Castro","PHI","INF","08/20/24","Torn thumb ligament","Activated","09/07/24","11/06/24","09/30/24","Activated"
"A.J. Minter","ATL","RP","08/21/24","Hip surgery","Activated","08/12/24","10/11/24","09/30/24","Activated"
"Ryan Mountcastle","BAL","1B","08/22/24","Sprained wrist","Activated","08/23/24","09/02/24","09/24/24","Activated"
"Nick Lodolo","CIN","SP","08/22/24","Sprained finger (left middle)","Activated","08/24/24","09/08/24","09/30/24","Activated"
"Joan Adon","WSN","RP","08/22/24","Strained shoulder","Activated","08/25/24","10/24/24","09/30/24","Activated"
"Paul Blackburn","NYM","SP","08/23/24","Hand contusion","Activated","08/24/24","10/23/24","09/30/24","Activated"
"Stuart Fairchild","CIN","OF","08/24/24","Sprained thumb","Activated","08/25/24","10/24/24","09/30/24","Activated"
"Jordan Hicks","SFG","RP","08/24/24","Shoulder inflammation","Activated","08/25/24","09/09/24","09/14/24","Activated"
"Willson Contreras","STL","C","08/24/24","Fractured finger (right middle)","Activated","08/25/24","09/04/24","09/30/24","Activated"
"Lucas Gilbreath","COL","RP","08/25/24","Shoulder inflammation","Activated","08/26/24","09/10/24","09/30/24","Activated"
"Cal Quantrill","COL","SP","08/27/24","Triceps inflammation","Activated","08/29/24","09/13/24","09/15/24","Activated"
"Ben Heller","PIT","RP","08/27/24","Shoulder inflammation","Activated","08/28/24","10/27/24","09/30/24","Activated"
"Colin Poche","TBR","RP","08/27/24","Shoulder inflammation","Activated","08/28/24","09/12/24","09/16/24","Activated"
"David Hamilton","BOS","INF","08/28/24","Fractured finger (left index)","Activated","08/29/24","09/08/24","09/30/24","Activated"
"Vinnie Pasquantino","KCR","1B","08/29/24","Fractured thumb (right)","Activated","08/30/24","09/09/24","09/30/24","Activated"
"Alec Bohm","PHI","3B","08/29/24","Strained hand","Activated","09/03/24","09/13/24","09/15/24","Activated"
"Clayton Kershaw","LAD","SP","08/30/24","Toe inflammation","Activated","08/31/24","09/15/24","09/30/24","Activated"
"Joe Kelly","LAD","RP","08/30/24","Shoulder inflammation","Activated","08/31/24","09/15/24","09/18/24","Activated"
"Vidal Bruján","MIA","INF/OF","08/30/24","Sprained shoulder","Activated","08/31/24","09/10/24","09/19/24","Activated"
"Alex Cobb","CLE","SP","09/01/24","Blister (middle finger)","Activated","09/08/24","09/23/24","09/30/24","Activated"
"Bryse Wilson","MIL","RP","09/01/24","Strained oblique","Activated","09/02/24","09/17/24","09/30/24","Activated"
"Austin Hays","PHI","OF","09/01/24","Kidney infection","Activated","09/02/24","09/12/24","09/24/24","Activated"
"Brooks Baldwin","CHW","INF","09/03/24","Sprained wrist","Activated","09/04/24","09/14/24","09/30/24","Activated"
"Javier Báez","DET","SS","09/03/24","Arthroscopic hip surgery","Activated","08/23/24","09/02/24","09/30/24","Activated"
"Ben Joyce","LAA","RP","09/03/24","Shoulder impingement","Activated","09/07/24","09/22/24","09/30/24","Activated"
"Max Meyer","MIA","SP","09/03/24","Shoulder bursitis","Activated","09/04/24","09/19/24","09/30/24","Activated"
"DJ LeMahieu","NYY","INF","09/03/24","Hip impingement","Activated","09/06/24","09/16/24","09/30/24","Activated"
"Kyle Harrison","SFG","SP","09/03/24","Shoulder inflammation","Activated","09/04/24","09/19/24","09/30/24","Activated"
"Derek Hill","MIA","OF","09/04/24","Shoulder impingement","Activated","09/05/24","09/15/24","09/19/24","Activated"
"Calvin Faucher","MIA","RP","09/04/24","Shoulder impingement","Activated","09/05/24","09/20/24","09/30/24","Activated"
"Henry Davis","PIT","C","09/04/24","Hand inflammation (left)","Activated","09/05/24","09/15/24","09/30/24","Activated"
"Kevin Pillar","LAA","OF","09/06/24","Sprained thumb","Activated","09/07/24","09/17/24","09/20/24","Activated"
"Jo Adell","LAA","OF","09/06/24","Strained oblique","Activated","09/07/24","11/06/24","09/30/24","Activated"
"Jeff McNeil","NYM","2B/OF","09/06/24","Fractured wrist (right)","Activated","09/07/24","09/17/24","09/30/24","Activated"
"Ky Bush","CHW","SP","09/07/24","Strained triceps","Activated","09/14/24","09/29/24","09/30/24","Activated"
"Sam Moll","CIN","RP","09/07/24","Shoulder impingement","Activated","09/08/24","09/23/24","09/30/24","Activated"
"Anthony Rendon","LAA","3B","09/07/24","Strained oblique","Activated","09/08/24","09/18/24","09/30/24","Activated"
"Paul Sewald","ARI","RP","09/08/24","Neck discomfort","Activated","09/12/24","09/27/24","09/30/24","Activated"
"Ryne Nelson","ARI","SP","09/08/24","Shoulder inflammation","Activated","09/11/24","09/26/24","09/26/24","Activated"
"Anthony Banda","LAD","RP","09/09/24","Fractured hand (left)","Activated","09/10/24","09/25/24","09/30/24","Activated"
"Reynaldo López","ATL","SP","09/10/24","Shoulder inflammation","Activated","09/11/24","09/26/24","09/28/24","Activated"
"Chas McCormick","HOU","OF","09/10/24","Fractured hand (right)","Activated","09/11/24","09/21/24","09/30/24","Activated"
"Miguel Andujar","OAK","OF","09/10/24","Core muscle surgery","Activated","08/25/24","10/24/24","09/30/24","Activated"
"José Ureña","TEX","RP","09/13/24","Shoulder fatigue","Activated","09/14/24","09/29/24","09/30/24","Activated"
"Corey Seager","TEX","SS","09/13/24","Sports hernia surgery","Activated","09/03/24","11/02/24","09/30/24","Activated"
"Ben Gamel","HOU","OF","09/14/24","Fractured leg (fibula)","Activated","09/15/24","11/14/24","09/30/24","Activated"
"José Marte","LAA","RP","09/14/24","Shoulder surgery","Activated","08/09/24","10/08/24","09/30/24","Activated"
"Jordan Hicks","SFG","RP","09/14/24","Shoulder inflammation","Activated","09/17/24","10/02/24","09/30/24","Activated"
"Austin Barnes","LAD","C","09/15/24","Fractured toe","Activated","09/16/24","09/26/24","09/26/24","Activated"
"Kyle Nicolas","PIT","RP","09/16/24","Strained oblique","Activated","09/17/24","10/02/24","09/30/24","Activated"
"Jordan Wicks","CHC","SP","09/17/24","Strained oblique","Activated","09/18/24","10/03/24","09/30/24","Activated"
"Bo Bichette","TOR","SS","09/17/24","Fractured finger (right middle)","Activated","09/18/24","09/28/24","09/30/24","Activated"
"Sam Hentges","CLE","RP","09/18/24","Shoulder surgery","Activated","07/11/24","09/09/24","09/30/24","Activated"
"Josh Jung","TEX","3B","09/18/24","Wrist tendinitis","Activated","09/21/24","10/01/24","09/30/24","Activated"
"Rafael Devers","BOS","3B","09/20/24","Shoulder inflammation","Activated","09/21/24","10/01/24","09/30/24","Activated"
"Jake Cousins","NYY","RP","09/20/24","Strained pectoral","Activated","09/21/24","10/06/24","09/30/24","Activated"
"Daulton Varsho","TOR","OF","09/21/24","Shoulder surgery (rotator cuff)","Activated","09/14/24","11/13/24","09/30/24","Activated"
"Kenley Jansen","BOS","RP","09/22/24","Shoulder inflammation","Activated","09/23/24","10/08/24","09/30/24","Activated"
"Bryce Miller","SEA","SP","09/23/24","Blister (right index finger)","Activated","09/25/24","10/10/24","09/30/24","Activated"
"Brent Honeywell","LAD","RP","09/24/24","Cracked fingernail","Activated","09/25/24","10/10/24","09/30/24","Activated"
"Brusdar Graterol","LAD","RP","09/24/24","Shoulder inflammation","Activated","09/25/24","10/10/24","09/30/24","Activated"
"Matt Wallner","MIN","OF","09/24/24","Strained oblique","Activated","09/25/24","10/05/24","09/30/24","Activated"
"Josh Sborz","TEX","RP","09/24/24","Shoulder fatigue","Activated","09/25/24","10/10/24","09/30/24","Activated"
"Mark Canha","SFG","OF/1B","09/28/24","Sprained thumb","Activated","09/29/24","10/09/24","09/30/24","Activated"
"Gavin Stone","LAD","SP","10/09/24","Shoulder surgery","Activated","09/03/24","11/02/24","09/30/24","Activated"
"Ha-Seong Kim","SDP","SS","10/10/24","Shoulder surgery (labrum repair)","Activated","08/19/24","08/29/24","09/30/24","Activated"
